statename,state,Year,Month,pop,laborforce_participation,Employed_prct,unemp_rate
Ohio,OH,1995,2,8462621,65.7,62.8,4.3
Oklahoma,OK,1995,2,2445705,63.6,60.6,4.7
Oregon,OR,1995,2,2428771,68.4,65.2,4.7
Pennsylvania,PA,1995,2,9367821,62.9,59.3,5.7
Rhode Island,RI,1995,2,783272,65.4,61.1,6.6
South Carolina,SC,1995,2,2799634,65.9,62.6,5
South Dakota,SD,1995,2,534508,72,69.8,3
Tennessee,TN,1995,2,4047895,67.3,64.1,4.7
Texas,TX,1995,2,13719284,69.4,65.3,5.8
Utah,UT,1995,2,1388802,72.4,69.7,3.7
Vermont,VT,1995,2,446511,71.3,68.3,4.2
Virginia,VA,1995,2,4957914,70.1,67.1,4.4
Washington,WA,1995,2,4088079,68.4,64.1,6.2
West Virginia,WV,1995,2,1433342,54.5,50.3,7.6
Wisconsin,WI,1995,2,3890240,73.6,70.8,3.8
Wyoming,WY,1995,2,356332,71.5,68.1,4.7
Alabama,AL,1995,3,3245531,63.6,59.7,6
Alaska,AK,1995,3,413457,73.2,67.9,7.2
Arizona,AZ,1995,3,3310379,66.7,63.1,5.4
Arkansas,AR,1995,3,1904942,64.9,61.8,4.8
California,CA,1995,3,23234766,65.5,60.4,7.8
Colorado,CO,1995,3,2866583,73.5,70.7,3.8
Connecticut,CT,1995,3,2549174,68.3,64.5,5.6
Delaware,DE,1995,3,552792,69.8,67,4
D.C.,DC,1995,3,459033,65.9,60.3,8.6
Florida,FL,1995,3,11266379,62.4,59,5.4
Georgia,GA,1995,3,5421685,67.4,64.3,4.6
Hawaii,HI,1995,3,865263,67.7,64,5.5
Idaho,ID,1995,3,850008,70.3,66.5,5.4
Illinois,IL,1995,3,9023682,68.3,64.9,5
Indiana,IN,1995,3,4416745,71.1,67.9,4.6
Iowa,IA,1995,3,2172670,72.9,70.4,3.4
Kansas,KS,1995,3,1914744,70.6,67.3,4.7
Kentucky,KY,1995,3,2946136,62.9,59.6,5.2
Louisiana,LA,1995,3,3184342,61.6,57.1,7.3
Maine,ME,1995,3,954540,66.1,62,6.1
Maryland,MD,1995,3,3812954,71,67.5,4.9
Massachusetts,MA,1995,3,4736374,67.9,64.2,5.4
Michigan,MI,1995,3,7266085,66.3,62.7,5.4
Minnesota,MN,1995,3,3474159,74.7,71.8,3.8
Mississippi,MS,1995,3,1994419,62.9,59.2,6
Missouri,MO,1995,3,4035638,71,67.5,4.9
Montana,MT,1995,3,651875,67.6,63.8,5.6
Nebraska,NE,1995,3,1225357,73.3,71.4,2.6
Nevada,NV,1995,3,1204314,69,65.1,5.7
New Hampshire,NH,1995,3,875031,72,69,4.1
New Jersey,NJ,1995,3,6183229,66.5,62.3,6.3
New Mexico,NM,1995,3,1245371,63.9,59.9,6.3
New York,NY,1995,3,14185096,61.1,57.3,6.2
North Carolina,NC,1995,3,5566686,67.2,64.5,4.1
North Dakota,ND,1995,3,477535,70.6,68.3,3.3
Ohio,OH,1995,3,8465551,65.7,62.8,4.4
Oklahoma,OK,1995,3,2446894,63.5,60.6,4.6
Oregon,OR,1995,3,2433041,68.4,65.1,4.8
Pennsylvania,PA,1995,3,9368431,62.9,59.3,5.8
Rhode Island,RI,1995,3,782760,65.4,61.1,6.6
South Carolina,SC,1995,3,2802612,65.9,62.6,5
South Dakota,SD,1995,3,535596,72,69.8,3
Tennessee,TN,1995,3,4053490,67.2,64,4.9
Texas,TX,1995,3,13738885,69.4,65.3,5.9
Utah,UT,1995,3,1392250,72.3,69.7,3.6
Vermont,VT,1995,3,446535,71.3,68.3,4.2
Virginia,VA,1995,3,4963042,70,66.9,4.4
Washington,WA,1995,3,4094322,68.4,64.1,6.3
West Virginia,WV,1995,3,1434219,54.5,50.3,7.7
Wisconsin,WI,1995,3,3893696,73.7,70.9,3.8
Wyoming,WY,1995,3,357353,71.3,67.9,4.7
Alabama,AL,1995,4,3247333,63.6,59.7,6.1
Alaska,AK,1995,4,414448,73,67.8,7.1
Arizona,AZ,1995,4,3322163,66.7,63.1,5.4
Arkansas,AR,1995,4,1906353,64.8,61.7,4.8
California,CA,1995,4,23240858,65.5,60.3,7.9
Colorado,CO,1995,4,2873560,73.5,70.6,3.9
Connecticut,CT,1995,4,2549637,68.2,64.4,5.6
Delaware,DE,1995,4,552868,69.8,67,4.1
D.C.,DC,1995,4,458399,65.8,60,8.8
Florida,FL,1995,4,11284734,62.3,58.9,5.4
Georgia,GA,1995,4,5432696,67.4,64.2,4.8
Hawaii,HI,1995,4,865394,67.8,63.9,5.7
Idaho,ID,1995,4,852008,70.3,66.5,5.4
Illinois,IL,1995,4,9027931,68.3,64.8,5.1
Indiana,IN,1995,4,4421313,71,67.7,4.7
Iowa,IA,1995,4,2173998,72.8,70.3,3.5
Kansas,KS,1995,4,1916756,70.5,67.3,4.6
Kentucky,KY,1995,4,2949186,62.9,59.6,5.3
Louisiana,LA,1995,4,3186363,61.5,57.1,7.2
Maine,ME,1995,4,954517,66.3,62.3,6.1
Maryland,MD,1995,4,3815779,71,67.5,5
Massachusetts,MA,1995,4,4739364,67.8,64.1,5.4
Michigan,MI,1995,4,7271785,66.2,62.6,5.5
Minnesota,MN,1995,4,3477844,74.7,71.9,3.8
Mississippi,MS,1995,4,1996521,62.9,59.1,6.1
Missouri,MO,1995,4,4039219,70.9,67.4,4.9
Montana,MT,1995,4,652841,67.6,63.8,5.6
Nebraska,NE,1995,4,1226600,73.3,71.4,2.6
Nevada,NV,1995,4,1209239,69,65.1,5.7
New Hampshire,NH,1995,4,876126,71.9,69,4.1
New Jersey,NJ,1995,4,6186407,66.5,62.3,6.4
New Mexico,NM,1995,4,1248583,63.8,59.7,6.4
New York,NY,1995,4,14187176,61,57.2,6.3
North Carolina,NC,1995,4,5577173,67.1,64.3,4.2
North Dakota,ND,1995,4,477607,70.7,68.4,3.3
Ohio,OH,1995,4,8469480,65.8,62.8,4.6
Oklahoma,OK,1995,4,2449083,63.4,60.5,4.6
Oregon,OR,1995,4,2437312,68.3,65.1,4.8
Pennsylvania,PA,1995,4,9371041,62.9,59.3,5.8
Rhode Island,RI,1995,4,783249,65.3,61,6.6
South Carolina,SC,1995,4,2805590,65.9,62.6,5
South Dakota,SD,1995,4,535685,72,69.9,3
Tennessee,TN,1995,4,4059085,67.2,63.8,5.1
Texas,TX,1995,4,13760487,69.3,65.2,6
Utah,UT,1995,4,1396699,72.1,69.6,3.6
Vermont,VT,1995,4,446560,71.4,68.4,4.2
Virginia,VA,1995,4,4968169,69.8,66.7,4.4
Washington,WA,1995,4,4101565,68.4,64.1,6.4
West Virginia,WV,1995,4,1434095,54.5,50.3,7.7
Wisconsin,WI,1995,4,3897151,73.7,70.9,3.8
Wyoming,WY,1995,4,357375,71.3,67.9,4.8
Alabama,AL,1995,5,3249135,63.7,59.7,6.1
Alaska,AK,1995,5,414440,73.1,67.9,7.1
Arizona,AZ,1995,5,3332946,66.8,63.2,5.4
Arkansas,AR,1995,5,1908765,64.6,61.6,4.8
California,CA,1995,5,23244949,65.5,60.3,7.9
Colorado,CO,1995,5,2880538,73.5,70.5,4
Connecticut,CT,1995,5,2549100,68.1,64.3,5.6
Delaware,DE,1995,5,553944,69.7,66.8,4.2
D.C.,DC,1995,5,457764,65.7,59.9,8.9
Florida,FL,1995,5,11303089,62.2,58.8,5.5
Georgia,GA,1995,5,5442707,67.5,64.2,4.9
Hawaii,HI,1995,5,866525,67.8,63.8,5.8
Idaho,ID,1995,5,854008,70.2,66.4,5.4
Illinois,IL,1995,5,9031180,68.3,64.8,5.2
Indiana,IN,1995,5,4423880,71,67.6,4.7
Iowa,IA,1995,5,2175327,72.8,70.2,3.5
Kansas,KS,1995,5,1917768,70.4,67.2,4.5
Kentucky,KY,1995,5,2952236,62.9,59.5,5.4
Louisiana,LA,1995,5,3188384,61.4,57,7.1
Maine,ME,1995,5,954494,66.5,62.5,6
Maryland,MD,1995,5,3817604,71,67.4,5
Massachusetts,MA,1995,5,4742354,67.7,64.1,5.4
Michigan,MI,1995,5,7276485,66.2,62.5,5.5
Minnesota,MN,1995,5,3481529,74.7,71.9,3.7
Mississippi,MS,1995,5,1998623,62.8,58.9,6.2
Missouri,MO,1995,5,4042801,70.8,67.4,4.9
Montana,MT,1995,5,653807,67.6,63.8,5.6
Nebraska,NE,1995,5,1227844,73.3,71.4,2.6
Nevada,NV,1995,5,1214165,69,65.2,5.6
New Hampshire,NH,1995,5,877222,71.9,69,4.1
New Jersey,NJ,1995,5,6189585,66.5,62.2,6.5
New Mexico,NM,1995,5,1250795,63.7,59.6,6.4
New York,NY,1995,5,14187257,61,57.1,6.3
North Carolina,NC,1995,5,5585660,67.1,64.2,4.3
North Dakota,ND,1995,5,477679,70.9,68.6,3.2
Ohio,OH,1995,5,8473410,65.9,62.7,4.7
Oklahoma,OK,1995,5,2450271,63.4,60.5,4.6
Oregon,OR,1995,5,2440582,68.3,65,4.9
Pennsylvania,PA,1995,5,9372651,62.9,59.2,5.9
Rhode Island,RI,1995,5,783737,65.2,61,6.5
South Carolina,SC,1995,5,2808568,65.9,62.6,5
South Dakota,SD,1995,5,536774,72,69.8,3
Tennessee,TN,1995,5,4065680,67.2,63.6,5.3
Texas,TX,1995,5,13781088,69.4,65.2,6
Utah,UT,1995,5,1400147,72.1,69.5,3.5
Vermont,VT,1995,5,447584,71.3,68.3,4.2
Virginia,VA,1995,5,4972297,69.6,66.5,4.5
Washington,WA,1995,5,4108808,68.4,64,6.5
West Virginia,WV,1995,5,1433972,54.6,50.3,7.9
Wisconsin,WI,1995,5,3901607,73.7,71,3.8
Wyoming,WY,1995,5,358396,71.2,67.7,4.8
Alabama,AL,1995,6,3250938,63.7,59.8,6.2
Alaska,AK,1995,6,415431,73,67.8,7.2
Arizona,AZ,1995,6,3343730,66.8,63.2,5.4
Arkansas,AR,1995,6,1911177,64.6,61.5,4.8
California,CA,1995,6,23251041,65.5,60.3,8
Colorado,CO,1995,6,2887515,73.5,70.5,4.1
Connecticut,CT,1995,6,2549563,68,64.2,5.6
Delaware,DE,1995,6,555020,69.6,66.6,4.3
D.C.,DC,1995,6,457130,65.6,59.7,9
Florida,FL,1995,6,11322444,62.1,58.7,5.5
Georgia,GA,1995,6,5452718,67.5,64.1,5.1
Hawaii,HI,1995,6,866657,67.8,63.7,6
Idaho,ID,1995,6,856008,70.1,66.3,5.4
Illinois,IL,1995,6,9035428,68.3,64.7,5.2
Indiana,IN,1995,6,4428448,70.8,67.5,4.7
Iowa,IA,1995,6,2176655,72.7,70.2,3.5
Kansas,KS,1995,6,1919780,70.3,67.2,4.5
Kentucky,KY,1995,6,2954286,62.9,59.4,5.6
Louisiana,LA,1995,6,3191405,61.3,57,7
Maine,ME,1995,6,955471,66.7,62.7,6
Maryland,MD,1995,6,3819428,71,67.4,5.1
Massachusetts,MA,1995,6,4745344,67.7,64.1,5.3
Michigan,MI,1995,6,7281184,66.1,62.5,5.5
Minnesota,MN,1995,6,3486214,74.6,71.9,3.7
Mississippi,MS,1995,6,2000725,62.9,58.9,6.3
Missouri,MO,1995,6,4046383,70.8,67.4,4.9
Montana,MT,1995,6,655774,67.5,63.7,5.6
Nebraska,NE,1995,6,1230088,73.3,71.4,2.7
Nevada,NV,1995,6,1220090,69,65.2,5.5
New Hampshire,NH,1995,6,878318,71.8,68.9,4
New Jersey,NJ,1995,6,6192764,66.6,62.2,6.5
New Mexico,NM,1995,6,1253008,63.6,59.5,6.5
New York,NY,1995,6,14188338,61,57.1,6.4
North Carolina,NC,1995,6,5596148,67,64.1,4.4
North Dakota,ND,1995,6,477751,71.1,68.8,3.2
Ohio,OH,1995,6,8477339,65.9,62.7,4.9
Oklahoma,OK,1995,6,2451460,63.4,60.5,4.6
Oregon,OR,1995,6,2444853,68.3,65,4.9
Pennsylvania,PA,1995,6,9374261,62.9,59.2,5.9
Rhode Island,RI,1995,6,783225,65.2,61,6.5
South Carolina,SC,1995,6,2812546,66,62.6,5.1
South Dakota,SD,1995,6,536863,72.1,69.9,3
Tennessee,TN,1995,6,4071275,67.2,63.5,5.4
Texas,TX,1995,6,13802689,69.4,65.1,6.1
Utah,UT,1995,6,1404596,72,69.4,3.5
Vermont,VT,1995,6,447608,71.4,68.3,4.3
Virginia,VA,1995,6,4978425,69.4,66.2,4.6
Washington,WA,1995,6,4116051,68.4,63.9,6.5
West Virginia,WV,1995,6,1433848,54.7,50.3,8
Wisconsin,WI,1995,6,3905062,73.8,71,3.7
Wyoming,WY,1995,6,358418,71.2,67.8,4.8
Alabama,AL,1995,7,3252740,63.7,59.8,6.1
Alaska,AK,1995,7,416422,73,67.7,7.2
Arizona,AZ,1995,7,3354514,66.8,63.2,5.3
Arkansas,AR,1995,7,1913589,64.5,61.4,4.8
California,CA,1995,7,23257132,65.6,60.3,8
Colorado,CO,1995,7,2895493,73.5,70.5,4.1
Connecticut,CT,1995,7,2550026,67.9,64.1,5.5
Delaware,DE,1995,7,556097,69.4,66.4,4.3
D.C.,DC,1995,7,456496,65.6,59.7,9
Florida,FL,1995,7,11341800,62.1,58.6,5.6
Georgia,GA,1995,7,5463729,67.6,64.1,5.1
Hawaii,HI,1995,7,867788,67.7,63.5,6.1
Idaho,ID,1995,7,859008,69.9,66.1,5.4
Illinois,IL,1995,7,9039677,68.3,64.7,5.2
Indiana,IN,1995,7,4432015,70.7,67.4,4.7
Iowa,IA,1995,7,2178983,72.7,70.2,3.5
Kansas,KS,1995,7,1921792,70.2,67.1,4.4
Kentucky,KY,1995,7,2957335,62.9,59.3,5.6
Louisiana,LA,1995,7,3193427,61.3,57.1,6.9
Maine,ME,1995,7,955448,66.9,62.9,5.9
Maryland,MD,1995,7,3822253,71,67.4,5.1
Massachusetts,MA,1995,7,4748335,67.7,64.1,5.3
Michigan,MI,1995,7,7286884,66.1,62.5,5.4
Minnesota,MN,1995,7,3489899,74.6,71.9,3.7
Mississippi,MS,1995,7,2003827,62.9,58.8,6.4
Missouri,MO,1995,7,4049964,70.7,67.4,4.8
Montana,MT,1995,7,656740,67.5,63.7,5.7
Nebraska,NE,1995,7,1231332,73.4,71.4,2.7
Nevada,NV,1995,7,1225016,69.1,65.3,5.5
New Hampshire,NH,1995,7,879413,71.8,68.9,4
New Jersey,NJ,1995,7,6195942,66.6,62.3,6.5
New Mexico,NM,1995,7,1255220,63.6,59.5,6.5
New York,NY,1995,7,14190419,61,57.1,6.4
North Carolina,NC,1995,7,5605635,67.1,64.1,4.4
North Dakota,ND,1995,7,478823,71.1,68.9,3.2
Ohio,OH,1995,7,8482268,66,62.7,5
Oklahoma,OK,1995,7,2453649,63.4,60.4,4.6
Oregon,OR,1995,7,2449123,68.3,64.9,4.9
Pennsylvania,PA,1995,7,9376871,63,59.3,5.9
Rhode Island,RI,1995,7,783713,65.2,61,6.4
South Carolina,SC,1995,7,2815524,66,62.6,5.2
South Dakota,SD,1995,7,537952,72.1,69.9,3
Tennessee,TN,1995,7,4077870,67.1,63.5,5.5
Texas,TX,1995,7,13824291,69.4,65.1,6.2
Utah,UT,1995,7,1408044,71.9,69.4,3.5
Vermont,VT,1995,7,448633,71.3,68.2,4.3
Virginia,VA,1995,7,4983552,69.2,66.1,4.6
Washington,WA,1995,7,4123295,68.3,63.8,6.5
West Virginia,WV,1995,7,1434725,54.7,50.3,8
Wisconsin,WI,1995,7,3909518,73.8,71.1,3.7
Wyoming,WY,1995,7,358439,71.2,67.8,4.8
Alabama,AL,1995,8,3256542,63.6,59.8,6.1
Alaska,AK,1995,8,416414,73.1,67.8,7.3
Arizona,AZ,1995,8,3364298,66.7,63.2,5.3
Arkansas,AR,1995,8,1916001,64.6,61.5,4.8
California,CA,1995,8,23274224,65.6,60.4,7.9
Colorado,CO,1995,8,2901470,73.5,70.5,4.1
Connecticut,CT,1995,8,2550489,67.8,64.1,5.5
Delaware,DE,1995,8,557173,69.3,66.3,4.4
D.C.,DC,1995,8,455861,65.6,59.7,9
Florida,FL,1995,8,11362155,62.1,58.6,5.6
Georgia,GA,1995,8,5475739,67.6,64.1,5.1
Hawaii,HI,1995,8,868919,67.5,63.4,6.1
Idaho,ID,1995,8,860009,70,66.2,5.4
Illinois,IL,1995,8,9045926,68.3,64.7,5.2
Indiana,IN,1995,8,4436582,70.7,67.4,4.6
Iowa,IA,1995,8,2180311,72.8,70.3,3.5
Kansas,KS,1995,8,1923803,70.1,67.1,4.3
Kentucky,KY,1995,8,2960385,62.8,59.3,5.6
Louisiana,LA,1995,8,3196448,61.2,57.1,6.8
Maine,ME,1995,8,956425,67,63.1,5.9
Maryland,MD,1995,8,3825078,71,67.3,5.1
Massachusetts,MA,1995,8,4751325,67.7,64.1,5.3
Michigan,MI,1995,8,7294584,66,62.5,5.3
Minnesota,MN,1995,8,3494584,74.6,71.9,3.6
Mississippi,MS,1995,8,2005929,62.9,58.9,6.4
Missouri,MO,1995,8,4053546,70.7,67.4,4.7
Montana,MT,1995,8,657706,67.6,63.7,5.7
Nebraska,NE,1995,8,1232575,73.4,71.4,2.7
Nevada,NV,1995,8,1230942,69.1,65.3,5.5
New Hampshire,NH,1995,8,880509,71.8,68.9,3.9
New Jersey,NJ,1995,8,6201120,66.6,62.3,6.5
New Mexico,NM,1995,8,1258432,63.6,59.4,6.6
New York,NY,1995,8,14195500,61,57.1,6.4
North Carolina,NC,1995,8,5616122,67.1,64.1,4.4
North Dakota,ND,1995,8,478895,71.3,69.1,3.2
Ohio,OH,1995,8,8486198,66.1,62.7,5
Oklahoma,OK,1995,8,2455838,63.4,60.5,4.6
Oregon,OR,1995,8,2454394,68.3,64.9,4.9
Pennsylvania,PA,1995,8,9380481,63,59.3,5.9
Rhode Island,RI,1995,8,784202,65.1,61.1,6.2
South Carolina,SC,1995,8,2818502,66.1,62.6,5.3
South Dakota,SD,1995,8,539041,72,69.8,3
Tennessee,TN,1995,8,4084465,67.1,63.4,5.4
Texas,TX,1995,8,13846892,69.4,65.1,6.2
Utah,UT,1995,8,1412493,71.9,69.4,3.4
Vermont,VT,1995,8,448657,71.4,68.3,4.3
Virginia,VA,1995,8,4989680,69,65.9,4.6
Washington,WA,1995,8,4129538,68.2,63.8,6.5
West Virginia,WV,1995,8,1434601,54.8,50.4,8
Wisconsin,WI,1995,8,3913973,73.8,71.1,3.7
Wyoming,WY,1995,8,359461,71.1,67.6,4.8
Alabama,AL,1995,9,3259344,63.5,59.8,5.9
Alaska,AK,1995,9,417405,73.1,67.7,7.4
Arizona,AZ,1995,9,3374082,66.6,63.1,5.3
Arkansas,AR,1995,9,1918412,64.7,61.5,4.9
California,CA,1995,9,23292316,65.6,60.4,7.9
Colorado,CO,1995,9,2908448,73.6,70.5,4.1
Connecticut,CT,1995,9,2551952,67.7,64.1,5.4
Delaware,DE,1995,9,558249,69.1,66.1,4.4
D.C.,DC,1995,9,456227,65.4,59.6,8.9
Florida,FL,1995,9,11383510,62,58.6,5.6
Georgia,GA,1995,9,5486750,67.5,64.1,5
Hawaii,HI,1995,9,869050,67.5,63.3,6.1
Idaho,ID,1995,9,862009,69.9,66.1,5.4
Illinois,IL,1995,9,9052175,68.3,64.8,5.2
Indiana,IN,1995,9,4441150,70.6,67.3,4.6
Iowa,IA,1995,9,2181639,72.8,70.3,3.4
Kansas,KS,1995,9,1925815,70,67,4.2
Kentucky,KY,1995,9,2963435,62.7,59.2,5.6
Louisiana,LA,1995,9,3198469,61.2,57.1,6.7
Maine,ME,1995,9,956401,67.2,63.3,5.8
Maryland,MD,1995,9,3828902,70.9,67.3,5.1
Massachusetts,MA,1995,9,4754315,67.6,64.1,5.2
Michigan,MI,1995,9,7302284,65.9,62.5,5.2
Minnesota,MN,1995,9,3499269,74.6,71.9,3.6
Mississippi,MS,1995,9,2008030,62.9,58.8,6.4
Missouri,MO,1995,9,4058127,70.6,67.4,4.6
Montana,MT,1995,9,658673,67.6,63.7,5.8
Nebraska,NE,1995,9,1233819,73.4,71.4,2.7
Nevada,NV,1995,9,1235867,69.1,65.3,5.4
New Hampshire,NH,1995,9,882605,71.6,68.9,3.9
New Jersey,NJ,1995,9,6206298,66.6,62.3,6.4
New Mexico,NM,1995,9,1260644,63.6,59.3,6.7
New York,NY,1995,9,14200581,61,57.1,6.4
North Carolina,NC,1995,9,5627609,67.1,64.2,4.4
North Dakota,ND,1995,9,479967,71.4,69.1,3.2
Ohio,OH,1995,9,8491127,66.1,62.7,5
Oklahoma,OK,1995,9,2459027,63.4,60.5,4.6
Oregon,OR,1995,9,2458664,68.3,64.9,4.9
Pennsylvania,PA,1995,9,9385091,63.1,59.3,5.9
Rhode Island,RI,1995,9,784690,65.1,61.1,6.1
South Carolina,SC,1995,9,2822480,66.1,62.6,5.3
South Dakota,SD,1995,9,539129,72.1,69.9,3.1
Tennessee,TN,1995,9,4091060,67,63.4,5.4
Texas,TX,1995,9,13869493,69.3,65.1,6.2
Utah,UT,1995,9,1416941,71.8,69.4,3.4
Vermont,VT,1995,9,449682,71.4,68.3,4.3
Virginia,VA,1995,9,4996808,68.8,65.6,4.6
Washington,WA,1995,9,4135781,68.2,63.7,6.5
West Virginia,WV,1995,9,1435478,54.9,50.4,8
Wisconsin,WI,1995,9,3918429,73.8,71,3.8
Wyoming,WY,1995,9,359482,71.1,67.7,4.8
Alabama,AL,1995,10,3263146,63.4,59.8,5.8
Alaska,AK,1995,10,417396,73.3,67.8,7.5
Arizona,AZ,1995,10,3384865,66.5,63,5.3
Arkansas,AR,1995,10,1920824,64.7,61.6,4.9
California,CA,1995,10,23311407,65.5,60.4,7.9
Colorado,CO,1995,10,2915425,73.5,70.5,4.2
Connecticut,CT,1995,10,2553415,67.6,64,5.3
Delaware,DE,1995,10,558325,69.1,65.9,4.6
D.C.,DC,1995,10,455592,65.3,59.6,8.8
Florida,FL,1995,10,11405865,62,58.5,5.6
Georgia,GA,1995,10,5498761,67.5,64.1,4.9
Hawaii,HI,1995,10,870181,67.4,63.2,6.1
Idaho,ID,1995,10,864009,69.9,66.1,5.4
Illinois,IL,1995,10,9059424,68.3,64.8,5.2
Indiana,IN,1995,10,4446717,70.4,67.2,4.6
Iowa,IA,1995,10,2182967,72.9,70.4,3.4
Kansas,KS,1995,10,1927827,69.9,67,4.1
Kentucky,KY,1995,10,2966485,62.6,59.1,5.5
Louisiana,LA,1995,10,3201491,61.1,57,6.7
Maine,ME,1995,10,957378,67.3,63.4,5.7
Maryland,MD,1995,10,3833727,70.8,67.2,5.1
Massachusetts,MA,1995,10,4758305,67.6,64.1,5.1
Michigan,MI,1995,10,7309984,65.8,62.5,5
Minnesota,MN,1995,10,3504954,74.6,71.9,3.7
Mississippi,MS,1995,10,2010132,62.8,58.8,6.4
Missouri,MO,1995,10,4061709,70.5,67.4,4.5
Montana,MT,1995,10,659639,67.6,63.7,5.7
Nebraska,NE,1995,10,1236063,73.3,71.4,2.7
Nevada,NV,1995,10,1241793,69,65.3,5.4
New Hampshire,NH,1995,10,883701,71.6,68.9,3.8
New Jersey,NJ,1995,10,6211476,66.5,62.3,6.4
New Mexico,NM,1995,10,1262856,63.6,59.2,6.9
New York,NY,1995,10,14207662,61,57.1,6.4
North Carolina,NC,1995,10,5638096,67.2,64.2,4.5
North Dakota,ND,1995,10,480039,71.5,69.3,3.1
Ohio,OH,1995,10,8497056,66.1,62.7,5.1
Oklahoma,OK,1995,10,2462215,63.3,60.4,4.5
Oregon,OR,1995,10,2463935,68.3,64.8,5
Pennsylvania,PA,1995,10,9389701,63.1,59.3,5.9
Rhode Island,RI,1995,10,785178,65.1,61.1,6
South Carolina,SC,1995,10,2825458,66.1,62.5,5.4
South Dakota,SD,1995,10,540218,72.1,69.9,3.1
Tennessee,TN,1995,10,4098655,66.8,63.3,5.3
Texas,TX,1995,10,13894095,69.3,65,6.2
Utah,UT,1995,10,1420389,71.8,69.4,3.4
Vermont,VT,1995,10,449706,71.5,68.4,4.3
Virginia,VA,1995,10,5003935,68.6,65.4,4.6
Washington,WA,1995,10,4142024,68.1,63.6,6.5
West Virginia,WV,1995,10,1435354,54.9,50.5,8
Wisconsin,WI,1995,10,3922884,73.8,71,3.8
Wyoming,WY,1995,10,360504,71,67.6,4.8
Alabama,AL,1995,11,3265948,63.3,59.7,5.6
Alaska,AK,1995,11,417388,73.4,67.8,7.6
Arizona,AZ,1995,11,3393649,66.4,62.9,5.3
Arkansas,AR,1995,11,1923236,64.8,61.6,4.9
California,CA,1995,11,23325499,65.5,60.4,7.8
Colorado,CO,1995,11,2922403,73.5,70.4,4.2
Connecticut,CT,1995,11,2553878,67.6,64,5.3
Delaware,DE,1995,11,559401,68.9,65.7,4.7
D.C.,DC,1995,11,454958,65.3,59.6,8.7
Florida,FL,1995,11,11426221,61.9,58.5,5.5
Georgia,GA,1995,11,5509772,67.4,64.1,4.8
Hawaii,HI,1995,11,871312,67.4,63.2,6.1
Idaho,ID,1995,11,866009,69.9,66.1,5.5
Illinois,IL,1995,11,9064673,68.3,64.7,5.3
Indiana,IN,1995,11,4450284,70.3,67.1,4.6
Iowa,IA,1995,11,2184295,73,70.4,3.5
Kansas,KS,1995,11,1928839,69.8,67,4.1
Kentucky,KY,1995,11,2969534,62.5,59,5.5
Louisiana,LA,1995,11,3203512,61.1,57,6.7
Maine,ME,1995,11,958355,67.3,63.5,5.6
Maryland,MD,1995,11,3836552,70.7,67.1,5.1
Massachusetts,MA,1995,11,4761295,67.5,64.1,5
Michigan,MI,1995,11,7316683,65.7,62.5,5
Minnesota,MN,1995,11,3509639,74.6,71.8,3.7
Mississippi,MS,1995,11,2012234,62.7,58.7,6.3
Missouri,MO,1995,11,4065290,70.5,67.3,4.4
Montana,MT,1995,11,660605,67.5,63.6,5.7
Nebraska,NE,1995,11,1237307,73.4,71.4,2.7
Nevada,NV,1995,11,1246719,69,65.3,5.4
New Hampshire,NH,1995,11,884796,71.6,68.9,3.8
New Jersey,NJ,1995,11,6215655,66.5,62.3,6.4
New Mexico,NM,1995,11,1265069,63.6,59.1,7
New York,NY,1995,11,14210743,61,57.1,6.3
North Carolina,NC,1995,11,5648583,67.3,64.3,4.5
North Dakota,ND,1995,11,480111,71.6,69.4,3.1
Ohio,OH,1995,11,8499986,66.1,62.7,5.1
Oklahoma,OK,1995,11,2464404,63.3,60.5,4.5
Oregon,OR,1995,11,2468205,68.3,64.8,5.1
Pennsylvania,PA,1995,11,9392311,63.1,59.4,5.9
Rhode Island,RI,1995,11,785666,65,61.2,5.9
South Carolina,SC,1995,11,2828436,66.1,62.5,5.4
South Dakota,SD,1995,11,541307,72,69.8,3.1
Tennessee,TN,1995,11,4104250,66.7,63.2,5.2
Texas,TX,1995,11,13914696,69.2,65,6.2
Utah,UT,1995,11,1424838,71.7,69.3,3.3
Vermont,VT,1995,11,449730,71.5,68.5,4.3
Virginia,VA,1995,11,5010063,68.3,65.2,4.6
Washington,WA,1995,11,4148267,68.1,63.6,6.5
West Virginia,WV,1995,11,1436231,54.9,50.5,8
Wisconsin,WI,1995,11,3927340,73.8,71,3.8
Wyoming,WY,1995,11,360525,71,67.6,4.8
Alabama,AL,1995,12,3267750,63.3,59.8,5.5
Alaska,AK,1995,12,418379,73.3,67.7,7.7
Arizona,AZ,1995,12,3403433,66.2,62.7,5.3
Arkansas,AR,1995,12,1924648,64.8,61.5,5
California,CA,1995,12,23337590,65.5,60.4,7.8
Colorado,CO,1995,12,2928380,73.4,70.3,4.2
Connecticut,CT,1995,12,2554341,67.6,64,5.3
Delaware,DE,1995,12,560477,68.8,65.4,4.9
D.C.,DC,1995,12,455324,65,59.3,8.7
Florida,FL,1995,12,11444576,61.8,58.4,5.5
Georgia,GA,1995,12,5520783,67.3,64.2,4.7
Hawaii,HI,1995,12,871443,67.5,63.3,6.2
Idaho,ID,1995,12,868009,69.9,66.1,5.5
